YEAR,MO,DY,HR,RH2M,SZA,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,PRECTOTCORR,Effeciency,Power Output
2020,1,1,0,100,90,0,0,-5.38,0,0,0
2020,1,1,1,100,90,0,0,-5.37,0,0,0
2020,1,1,2,100,90,0,0,-5.35,0,0,0
2020,1,1,3,100,90,0,0,-5.34,0,0,0
2020,1,1,4,100,90,0,0,-5.23,0,0,0
2020,1,1,5,100,90,0,0,-5.16,0,0,0
2020,1,1,6,99.8,90,0,0,-5.11,0,0,0
2020,1,1,7,97.87,90,0,0,-4.89,0.03,0,0
2020,1,1,8,90.89,83.01,101.47,102.88,-3.62,0.05,2.49,2.57
2020,1,1,9,82.51,75.34,236.45,249.68,-1.48,0,4.98,12.43
2020,1,1,10,75.93,69.25,318.12,370.05,1.07,0,6.3,23.32
2020,1,1,11,73.64,65.55,346.25,440.75,2.99,0,6.69,29.47
2020,1,1,12,73.79,64.69,308.73,452.8,3.99,0,5.97,27.02
2020,1,1,13,73.67,66.76,271.9,409.83,4.88,0,5.34,21.88
2020,1,1,14,74.86,71.52,231.2,313.9,5.45,0,4.74,14.89
2020,1,1,15,80.62,78.45,132.62,176.85,4.9,0,3.04,5.37
2020,1,1,16,91.79,86.86,22.7,32.88,2.68,0.01,0.76,0.25
2020,1,1,17,96.33,90,0,0,1.94,0.01,0,0
2020,1,1,18,95.76,90,0,0,2.15,0.01,0,0
2020,1,1,19,95.35,90,0,0,2.37,0.06,0,0
2020,1,1,20,96.68,90,0,0,2.33,0.17,0,0
2020,1,1,21,98.77,90,0,0,2.09,0.07,0,0
2020,1,1,22,100,90,0,0,1.58,0.04,0,0
2020,1,1,23,100,90,0,0,1.36,0.08,0,0
2020,1,2,0,100,90,0,0,1.07,0.45,0,0
2020,1,2,1,99.42,90,0,0,0.72,2.82,0,0
2020,1,2,2,98.42,90,0,0,0.22,9.81,0,0
2020,1,2,3,98.13,90,0,0,-0.17,5.52,0,0
2020,1,2,4,97.69,90,0,0,-0.3,3.98,0,0
2020,1,2,5,97.51,90,0,0,-0.3,3.41,0,0
2020,1,2,6,97.36,90,0,0,-0.31,0,0,0
2020,1,2,7,97.33,90,0,0,-0.37,0,0,0
2020,1,2,8,95.38,83.01,85.78,92.6,0.09,0,2.29,2.12
2020,1,2,9,91.86,75.32,206.12,235.12,1.34,0,4.51,10.61
2020,1,2,10,87.51,69.2,311.62,354.17,2.98,0,6.33,22.42
2020,1,2,11,80.17,65.49,417.88,426.3,5.25,0,8.22,35.04
2020,1,2,12,75.76,64.6,425.65,440.48,6.8,0,8.36,36.82
2020,1,2,13,75.38,66.65,387.75,402.15,7.14,0,7.7,30.96
2020,1,2,14,77.86,71.4,250.18,310.2,6.5,0,5.18,16.08
2020,1,2,15,87.03,78.32,166.3,176.02,4.49,0,3.85,6.78
2020,1,2,16,97.36,86.74,33.33,34,1.8,0,1.12,0.38
2020,1,2,17,100,90,0,0,0.89,0,0,0
2020,1,2,18,99.45,90,0,0,0.65,0,0,0
2020,1,2,19,98.14,90,0,0,0.26,0,0,0
2020,1,2,20,98.32,90,0,0,-0.48,0,0,0
2020,1,2,21,99.46,90,0,0,-1.35,0,0,0
2020,1,2,22,100,90,0,0,-2.28,0,0,0
2020,1,2,23,100,90,0,0,-2.85,0,0,0
2020,1,3,0,100,90,0,0,-3.17,0,0,0
2020,1,3,1,100,90,0,0,-3.07,0,0,0
2020,1,3,2,100,90,0,0,-2.88,0,0,0
2020,1,3,3,100,90,0,0,-2.92,0,0,0
2020,1,3,4,100,90,0,0,-2.88,0,0,0
2020,1,3,5,99.63,90,0,0,-2.64,0,0,0
2020,1,3,6,98.97,90,0,0,-2.67,0.04,0,0
2020,1,3,7,98.53,90,0,0,-2.77,0.05,0,0
2020,1,3,8,97.17,83.01,51.05,96.15,-2.37,0.05,1.33,1.28
2020,1,3,9,91.55,75.3,61.88,239.82,-0.87,0.03,1.34,3.22
2020,1,3,10,83.27,69.16,124.22,358.6,1.24,0.15,2.53,9.07
2020,1,3,11,79.38,65.41,162.73,429.92,2.85,0.66,3.22,13.85
2020,1,3,12,80.04,64.5,200.55,441.95,3.41,1.55,3.98,17.6
2020,1,3,13,83.15,66.54,133.43,401.45,3.18,2.01,2.69,10.8
